text,emotion,emotion_fixed
"Gotta give yourself time to grieve, Judy. Experience all its stages, feel them, let employ out. Shock, anger, depression…",anger,surprise
"Call me a murderer? You're right - I killed Woodman. I'd do it again in heartbeat. And if I'd known what he did to Evelyn when she needed help, I wouldn't've have gone so easy on him.",neutral,sadness
Fuck me. You always on the warpath?,anger,anger
"Fine. Know where to find the cargo and your car. But you go alone, you wont get ‘em back. And you could lose something else besides... So let's figure something out.",sadness,sadness
Nice ride. Lots of space. Practical.,joy,joy
"Wait, Nash is Raffen?",neutral,neutral
Shit.,neutral,neutral
But seriously - didn't realize Nash was Raffen?,neutral,neutral
Now we wait.,neutral,surprise
"Really, really hard to miss.",sadness,sadness
Sounds great.,neutral,joy
"There. Couldn't wait another minute, could ya?",neutral,neutral
"Dunno about you, but I'd rather you kept your word and things'd be cool between us. Are we all right?",neutral,neutral
"If there's one thing I've learned in Night City, it's that sometimes revenge is not sweet. Always stand to lose more than you might gain.",neutral,joy
Mean to say she used to be sweet and alluring?,neutral,neutral
Mean to say she used to be sweet and alluring?,neutral,neutral
Mean to say she used to be sweet and alluring?,neutral,neutral
"Just, um... Ehm, glad to have met you. Heh, so I thought....",joy,joy
"Or wait, scratch that. Rogue, Nash, the Raffens...",neutral,surprise
"Huh, antennas run all the way down the interstate...",neutral,fear
"Agh shit... Ughh... ngh... fooo... Ooof... c'mon... breathe...agh... Shit! Think we mighta overdone it, Panam!",anger,fear
Blastin' shit - 'zactly what the doc ordered.,anger,fear
"It's quiet. The hum of the city, people's voices, the smells... It's all gone. Wind just intensifies it. Think I forgot quiet exists.",neutral,sadness
Panam! The engines are still runnin'. Fuck! They're gettin' away!,anger,anger
No way it stays in the air after a blast like that.,neutral,surprise
I - I'm sorry. Your clan?,neutral,neutral
"No. You stay in the car. Sorry, but you're just gonna slow me down.",sadness,sadness
"Panam, hate to break it to ya, but you're hurt. Wait in the car. I'll try and take out the launcher.",sadness,anger
"You don't see the shit you're in?! You shoot him, and a millisec later you'll eat lead, too!",anger,fear
Panam! Oh shit...,anger,fear
"Scorpion, the rest... I'm sorry we didn't get here sooner.",sadness,sadness
"I just think you're a little too trigger-happy, Panam. Should think before you shoot. First you wanted to kill Nash, now the pilot...",joy,joy
"Sorry about your people, but I need to keep movin'.",sadness,sadness
"Ah, so that's what this is? Just paying your debts?",neutral,neutral
"You even get any customers out here? Shit, anyone even drive this way?",anger,fear
"Panam was just helpin' me. It was my doin’, my fault that AV got hit. Without me, Scorpion and his people wouldn't have gone out to grab it. That's the truth.",neutral,sadness
"And it was rare as fuck and cost a fortune, yeah.",anger,anger
How exactly was this new version supposed to work? Were you planning to have the engram kick people out of their own bodies? Is that shit by design?,anger,fear
"Yeah, yeah, great your tech works. Now get it out of me.",joy,joy
Whoa. We just met. Haven't built up that sorta trust yet.,surprise,surprise
"Wait, you said the project was in the trial phase. You don't actually know how it'll end.",neutral,surprise
"He's got a few questions of his own for you. You play nice, he might even save your ass.  I’m almost done.  The blueprints.",joy,joy
Fuck...!,neutral,neutral
"Blah blah blah, fuck Arasaka, blah blah, smash Mikoshi.",anger,anger
What was it like? When you died?,neutral,neutral
"They fuckin' around with the human mind, consciousness.",anger,anger
"Want me to throw Yorinobu under the bus in front of Arasaka top brass? Call me crazy, but that sounds like fuckin' suicide.",anger,anger
Fuck..,neutral,neutral
Fuck…,neutral,neutral
"Dunno, Vik… ears're ringin'. And I'm seein' shit…",anger,fear
"Blinding lights. It's loud. I'm on stage and almost can't breathe. I'm so damn full of… hatred. Then I let it all out into a mic. And I realize it didn't help, I don't feel any better. And then, promise not to laugh. I plant a bomb in Arasaka Tower.",anger,anger
"They killed me, Vik.  Never been so afraid.",fear,fear
"Fuck, I remember this thing, saw it on TV… What was that stupid slogan? Soul something?",anger,fear
"Vik, you've always come through for me. If there's nothing you can do to help me, then… well, what the hell do I do? Tell me, please. Vik?",neutral,neutral
"And then he died… and I thought I was gonna die… with him, in my sleep.",neutral,sadness
"The fuck I need pills for? Oughta just stick a gun in my mouth, pull the trigger.",anger,anger
"Misty, wait. Umm… about Jackie…",neutral,surprise
"Misty, wait. Umm… about Jackie… I'm so fucking sorry Jack's not here anymore.",sadness,sadness
Fuckin' ghost off!,anger,anger
Fuck!,neutral,neutral
No! Wait! Ugh…,neutral,surprise
"See you never, asshole.",neutral,anger
I'm… gonna kill you.,neutral,anger
Ugh. Fuck me…,anger,anger
Just answered your own question 'bout where Evelyn is - long gone.,neutral,sadness
"Sorry I couldn't be of any help. Don't have any time to lose, so…",sadness,sadness
"Tom's all right. Not afraid to speak his mind, that's all.",fear,fear
"Go fuck yourself, dickwipe!",anger,anger
"You're the ghost of Christmas past, asshole. Any Friends you had're either dead or so old their memory's gone.",neutral,anger
So you fuckin' know Rogue. What do I say to her? Got a talking brain tumor claims it's her old friend Johnny?,anger,fear
"You here alone? This is not exactly the safest neighborhood in town, Misty.",sadness,sadness
Nice still. It's gotta be Jackie's dad.,joy,joy
"Takin' this, yeah. Perfect for Jackie.",neutral,joy
Seriously? Meanin'?,neutral,neutral
"I, uh… often think back to the first time me and Jack met. It all started when he put a heater to my head. Then some badges showed up. Beat the shit out of us both - it's half my fault, half his. And we hightailed it out together. Half an hour later… well, we're eatin' dinner at Mama Welles'. Turned out to have more in common than we thought - principles. Jackie Welles. Best friend you could ask for, loyal to a fault. Once he set his mind on something, he was ready to die to achieve it. He once told me, ""Bróder, the one thing we can't do is be afraid of others."" He kept Heywood in his heart, always. It made him who he was. But most importantly… Jackie loved life and had no fear. Heart on his sleeve, he didn't overthink things. He just went for it. Thought he was bulletproof and… and that he'd become legend at the Afterlife. And ultimately, he did what he set out to do - shit in the shoes of some powerful people. And if he's watching, I bet just about now he's flippin' 'em all the bird.",fear,fear
I'm gonna miss him. Already do.,sadness,sadness
"You're not alone in thinking me dead… Thought it was game over for me, too.",sadness,sadness
Someone's in a great mood.,joy,joy
"Oh, so what you meant to say was you're full of shit. Got it.",anger,fear
Death is death is death. You're gone - game over.,neutral,sadness
"What I've been through - tough to move on from that. Death was something that happened to other people - hell, that I DEALT to others. Now my number'll be up. Wasn't enough. I died once. Have to go and do it again.",anger,sadness
And everyone's cool with that?,neutral,neutral
Oh well… Can't say I didn't try playing nice.,joy,joy
"All her shit's in it, though. Must've left in a hurry.",anger,fear
"Gah, fuck!",neutral,neutral
Jesus… the fuck do you want from me?,anger,fear
Lemme alone.,neutral,neutral
"To live life to the fullest? See the northern lights, run with the mechbulls or with gazelles on a safari?",neutral,neutral
You fuckin' asshole…,anger,anger
"Jack, I got no clue where you are, happened to you… It all got so fucked up. If you… If you're there somewhere… Fuck, I… What'm I doing?",anger,fear
You either get your shit kicked in for being slow or for being a nosy prick.,anger,fear
Glad to see a familiar face.,joy,joy
"My friend here? She's in really sorry shape. Couldn't let us cut in front, just this once?",neutral,neutral
Can't believe she finds the spares to keep 'em runnin'.,neutral,surprise
"Can't beat that rich synthcoff aroma - cheap shit. Cold, too. Mmmhm. Buck-A-Slice. Scav woman. Huh, who knew that 'sides citoppin' people up they were scrollin' XBD… Poor fucker. Electric Corp patch on the coveralls. Scav - gotta be. No one else with that kind of fashion sense. Ordered recently. Coffee was cold… like, from the day before. Pizza looked fresh, though.",anger,fear
Radio's turned way up. Probably to drown out the screamin'. Heard shit like that before. Sounds like scavs to me. Here we go. Old Electric Corp power plant in Charter Hill. Gotta make do with that for now. Nothin' else to garner from this scroll.,anger,fear
Mhm. Glad you managed to salvage 'em in the first place.,joy,joy
Her only job was to record a virtu. Pretty damn amazing she managed to organize a full-blown heist. And swipe the biochip from under her boss' noses.,anger,anger
know what? Seems like you're the only person in Night City who's happy with his lot.,joy,joy
Finally scrounged up enough eddies to pay you back in full.,neutral,joy
Not afraid that tragedy will strike you?,fear,fear
Oh fuck…!,neutral,neutral
Fwoo… fuck.,neutral,neutral
"Wait, so you found other recordings?",neutral,neutral
"I zeroed Woodman. Didn't plan on it - just how the chips landed. Glad I did, though.",joy,joy
What the hell happened? Look close to awful.,anger,surprise
Willing finally to give me the spec on 'im?,neutral,neutral
"Sorry, but… this gonna take much longer?",neutral,neutral
No way this was gonna work.,neutral,surprise
You my contact? Someone finally gonna tell me about this job?,neutral,neutral
You screenin' me? See if I came alone? What kinda chrome I got? This some kinda test?,neutral,neutral
Who died? Got somethin' to do with the job?,neutral,neutral
"Shit luck, right? All those, an' I don't know yours…",anger,fear
Nah. You guys aren't exactly great at rollin' out the welcome mat for outsiders.,joy,joy
Could fuckin' tell me what you plan to do first.,anger,fear
Y'know what? Fuck this.,anger,fear
"Uh-huh, ‘cept then I found out you need me to be a bullet trap on enemy turf. That means my fee's just gone up.",neutral,sadness
"Wait, who was that?",neutral,neutral
"OK, no more fuckin' tangents. Fess up — who are you?",anger,anger
"Sorry, don't work with corps.",sadness,sadness
"Oh, Placide is gonna be pissed...",anger,anger
Not about to let this shit lie.,anger,fear
Perfect. 'Cause I gotta talk to her.,neutral,joy
"Did what you wanted, 'cept 'stead of gettin' my circuits acid-fried, I'm still breathin'. That so damn wrong?",neutral,neutral
"Heh, biochip's not for sale. And you're not rippin' It outta me. Thing was in shit shape already before I strolled into the GIM.",anger,fear
Seriously? Haven't done enough for you already?,neutral,neutral
'Cause if you fuck up you're left empty-handed? That it?,anger,anger
Construct's active. Lets me and Johnny shoot the shit every now and then.,anger,fear
"Whoa, what? You said nothin' 'bout breakin' through the Blackwall.",surprise,surprise
This is it? Seriously?,neutral,neutral
Alt. You always treat her like shit?,anger,fear
What the hell's that mean?,neutral,neutral
"Fuck... Might've guessed. Never had any intention of helpin' me, did ya?",anger,anger
What the hell's goin' on?!,anger,surprise
"Aa, didn't make it any worse. OK, I get it, you hate Johnny's guts. But what about me?",neutral,neutral
Interesting... Brigitte claied she alone could help me.,sadness,sadness
"No, waste of time, waste of breath. Thank fuck my biz with you is done. Want nothin' to do with ya.",anger,anger
"Pisses me off that our memories blend, don't have my own anymore. Chip's the worst thing to ever fuckin’ happen to me.",anger,anger
"An arrogant asshole's no small problem, but it ain't my biggest. Dyin' is.",neutral,anger
You afraid of death? You afraid of death?,fear,fear
"Honestly, I'm scared of the day I'll start seeing your memories as my own.",fear,fear
"Whole world used to revolve around Silverhand. Now, no one gives a shit.",anger,fear
"Know what? Seems to me you need to have a nemesis, at all times. Ideally a crazy powerful one to feed your ego... and the've gotta be practically unbeatable - to justify a suicide run.",surprise,fear
"Actually, that's what I am, that kind of nemesis - I'll decide your fate, fuck all you can do.",anger,fear
"Ah, there it is - the crusade. Get to Mikoshi, smash the system.",sadness,joy
Need a fixer. Got somethin' that can't wait.,neutral,surprise
"They knew the risks. All sorts of shit happens - to all sorts of people. Even to the best. To you, too, Rogue. Arasaka Tower... 'member? Who'd you lose back then? Johnny something...",anger,fear
"U-huh. And if I don't have the scratch? It's ""fuck off and have a nice day""?",joy,joy
Mhm. No way to 'jack the transport without the NCPD picking up on it.,neutral,surprise
She run into a hitch?,neutral,neutral
"Gotta give yourself time to grieve, Judy. Experience all its stages, feel them, let employ out. Shock, anger, depression…",anger,surprise
"Call me a murderer? You're right - I killed Woodman. I'd do it again in heartbeat. And if I'd known what he did to Evelyn when she needed help, I wouldn't've have gone so easy on him.",neutral,sadness
Fuck me. You always on the warpath?,anger,anger
"Fine. Know where to find the cargo and your car. But you go alone, you wont get ‘em back. And you could lose something else besides... So let's figure something out.",sadness,sadness
Nice ride. Lots of space. Practical.,joy,joy
"Wait, Nash is Raffen?",neutral,neutral
Shit.,neutral,neutral
But seriously - didn't realize Nash was Raffen?,neutral,neutral
Now we wait.,neutral,surprise
"Really, really hard to miss.",sadness,sadness
Sounds great.,neutral,joy
"There. Couldn't wait another minute, could ya?",neutral,neutral
"Dunno about you, but I'd rather you kept your word and things'd be cool between us. Are we all right?",neutral,neutral
"If there's one thing I've learned in Night City, it's that sometimes revenge is not sweet. Always stand to lose more than you might gain.",neutral,joy
Mean to say she used to be sweet and alluring?,neutral,neutral
Mean to say she used to be sweet and alluring?,neutral,neutral
Mean to say she used to be sweet and alluring?,neutral,neutral
"Just, um... Ehm, glad to have met you. Heh, so I thought....",joy,joy
"Or wait, scratch that. Rogue, Nash, the Raffens...",neutral,surprise
"Huh, antennas run all the way down the interstate...",neutral,fear
"Agh shit... Ughh... ngh... fooo... Ooof... c'mon... breathe...agh... Shit! Think we mighta overdone it, Panam!",anger,fear
Blastin' shit - 'zactly what the doc ordered.,anger,fear
"It's quiet. The hum of the city, people's voices, the smells... It's all gone. Wind just intensifies it. Think I forgot quiet exists.",neutral,sadness
Panam! The engines are still runnin'. Fuck! They're gettin' away!,anger,anger
No way it stays in the air after a blast like that.,neutral,surprise
I - I'm sorry. Your clan?,neutral,neutral
"No. You stay in the car. Sorry, but you're just gonna slow me down.",sadness,sadness
"Panam, hate to break it to ya, but you're hurt. Wait in the car. I'll try and take out the launcher.",sadness,anger
"You don't see the shit you're in?! You shoot him, and a millisec later you'll eat lead, too!",anger,fear
Panam! Oh shit...,anger,fear
"Scorpion, the rest... I'm sorry we didn't get here sooner.",sadness,sadness
"I just think you're a little too trigger-happy, Panam. Should think before you shoot. First you wanted to kill Nash, now the pilot...",joy,joy
"Sorry about your people, but I need to keep movin'.",sadness,sadness
"Ah, so that's what this is? Just paying your debts?",neutral,neutral
"You even get any customers out here? Shit, anyone even drive this way?",anger,fear
"Panam was just helpin' me. It was my doin’, my fault that AV got hit. Without me, Scorpion and his people wouldn't have gone out to grab it. That's the truth.",neutral,sadness
"And it was rare as fuck and cost a fortune, yeah.",anger,anger
How exactly was this new version supposed to work? Were you planning to have the engram kick people out of their own bodies? Is that shit by design?,anger,fear
"Yeah, yeah, great your tech works. Now get it out of me.",joy,joy
Whoa. We just met. Haven't built up that sorta trust yet.,surprise,surprise
"Wait, you said the project was in the trial phase. You don't actually know how it'll end.",neutral,surprise
"He's got a few questions of his own for you. You play nice, he might even save your ass.  I’m almost done.  The blueprints.",joy,joy
Fuck...!,neutral,neutral
"Blah blah blah, fuck Arasaka, blah blah, smash Mikoshi.",anger,anger
What was it like? When you died?,neutral,neutral
"They fuckin' around with the human mind, consciousness.",anger,anger
"Y'know what I always liked about nomads? Your taste, uh, no - your hunger for freedom. It's not easy to come by In Night City. The corps got their grubby claws in everything. And I just can't believe you'd hand them what you hold to be most precious.",neutral,surprise
"Yea-I, buhh... I-I'm sorry... Dunno what I was thinking...",sadness,sadness
Thought the Biotechnica contract had withered and died.,neutral,sadness
Saul wouldn't be quite so pissed if it weren't.,anger,anger
Zactly. You saved his life. You wanna fuck things up all over again now?,anger,anger
"Nobody's gonna notice you gone, back at camp?",neutral,neutral
You don't miss life in Night City?,neutral,neutral
"Yeah, took adjustment on my part, too. Though, never was completely alone.",sadness,sadness
"Convoy - got eyes and ears on it?  Agh, shit....",anger,fear
"Uh-huh. But you all can't wait to pack your asses into the Basilisk, huh?",neutral,neutral
"Well, fuck me...",anger,anger
Nice and cozy in here.,joy,joy
"Then I thrust you. If it's so mystical and shit, why the co-pilot? Extra support?",anger,fear
"Speaking of happy endings... Back there, in the Basilisk, I... I hope you don't regret what happened.",joy,joy
To tell you the whole truth... I'm afraid things won't be the same between us if I do.,fear,fear
"Yeah, well, he's not too happy about it either. Turns out we don't really mix. And it's getting worse.",joy,joy
What the... Argh!,surprise,surprise
"Nice work, Judy. Outdid yourself. If you were to sell that, heh. You'd be the richest Judy in the NUSA.",joy,joy
Hehh... happy now?,joy,neutral
"Agh, shit....",neutral,neutral
"Sounds great, thanks.",joy,joy
After a day's work of tuning hardcore smut? Wouldn't be surprised.,surprise,surprise
So glad you came.,joy,joy
"First time you've done anything like this. Just imagine you're doing what a doll does, just... different program. You're great at that. Any idea how I can get to Hiromi?",neutral,neutral
"You gonna breach security, get me in the penthouse? Thought I could do it, but... Sorry, it's not gonna happen. Gotta manage on your own.",sadness,sadness
"Not all girls have to be nice, Johnny. 'Sides, she's gotta deal with a gang, she shouldn't be.  Could've called off the odds you know. Would've been quicker, simpler",joy,joy
"You don’t have authority “yet”? Heh, you sound damn sure of yourself.",anger,anger
"Ah, don't be dramatic, Judy. There's a difference between bein' a gonk and believin' people wanna do good.",neutral,joy
"All right then, count me in. But I gotta warn ya - I look great in a wetsuit.",joy,joy
Look pretty damn fine in that wetsuit.,anger,anger
Why's this stand to be perfect?,neutral,neutral
